139,Rocky Grove Girl's U-19 Rugby Club,e69d7756-4b8b-11e2-99aa-22000a929134
140,Schenley High School Girls RFC,e7724807-4b8b-11e2-99aa-22000a929134
141,Slippery Rock Men's Rugby Club,e7900437-4b8b-11e2-99aa-22000a929134
142,Slippery Rock Women's Rugby Club,e7a2881d-4b8b-11e2-99aa-22000a929134
143,South Pittsburgh Rugby Club,e81b6e22-4b8b-11e2-99aa-22000a929134
144,Thiel College Huskies,e8370ce9-4b8b-11e2-99aa-22000a929134
145,Three Rivers Rfc Pennsylvania,e8b09c8b-4b8b-11e2-99aa-22000a929134
146,Univ. Pittsburgh - Johnstown Women's Rugby,e8974dd7-4b8b-11e2-99aa-22000a929134
147,University of Pittsburgh at Johnstown Rugby Club,e9833a94-4b8b-11e2-99aa-22000a929134
148,Upper Saint Clair High School,ea0a6bc4-4b8b-11e2-99aa-22000a929134
149,Wandering Barbarians Rugby,ea22d881-4b8b-11e2-99aa-22000a929134
150,Washington & Jefferson Rugby Football Club,ea4e9853-4b8b-11e2-99aa-22000a929134
151,Washington & Jefferson Women's Rugby,ead6ae4c-4b8b-11e2-99aa-22000a929134
152,West Virginia University Rugby Club,eaf1937a-4b8b-11e2-99aa-22000a929134
153,West Virginia University Women's Rugby,eb39068f-4b8b-11e2-99aa-22000a929134
154,Westmoreland Highlander RFC,ebcbf210-4b8b-11e2-99aa-22000a929134
155,Westmoreland Highlander WRFC,ec5e964a-4b8b-11e2-99aa-22000a929134
156,Wheeling College Rugby,ecd48fed-4b8b-11e2-99aa-22000a929134
157,Woodland Hills High School Rugby,ed037cd6-4b8b-11e2-99aa-22000a929134
158,Youngstown Steel Valley Rugby Club,ed18ef4b-4b8b-11e2-99aa-22000a929134
159,43rd State Crimson Lions,edcefc28-4b8b-11e2-99aa-22000a929134
160,After Shock Rugby Sevens,ede73c94-4b8b-11e2-99aa-22000a929134
161,Alpharetta Bulls Rugby Football Club,ee14dc59-4b8b-11e2-99aa-22000a929134
162,American International College Men,eeccb612-4b8b-11e2-99aa-22000a929134
163,Arizona Little League Rugby Club,eee3ab2d-4b8b-11e2-99aa-22000a929134
164,Armed Forces Rugby Club,efa48e60-4b8b-11e2-99aa-22000a929134
165,At Large,efa85fcf-4b8b-11e2-99aa-22000a929134
166,At Large Hawaii,efd46d56-4b8b-11e2-99aa-22000a929134
167,At Large Hawaii Youth Rugby SBRO,f06ec3e0-4b8b-11e2-99aa-22000a929134
168,Atlantis US Sevens Rugby Football Club,f0682b20-4b8b-11e2-99aa-22000a929134
169,Benton County Blues,f0a12966-4b8b-11e2-99aa-22000a929134
170,Black Hills Rugby Club,f1871b5b-4b8b-11e2-99aa-22000a929134
171,Burrell High School Rugby,f17fe9d2-4b8b-11e2-99aa-22000a929134
172,Capital District Youth Rugby Girls,f249cbb3-4b8b-11e2-99aa-22000a929134
173,Capital High Girls Rugby Football Club,f24e8369-4b8b-11e2-99aa-22000a929134
174,Cardinals,f2a06e2e-4b8b-11e2-99aa-22000a929134
175,Christendom College Rugby Club,f337a6d0-4b8b-11e2-99aa-22000a929134
176,Chuckanut Bay Rugby Club Mini's,f363568b-4b8b-11e2-99aa-22000a929134
177,Eagle Impact Rugby Academy,f3a7d895-4b8b-11e2-99aa-22000a929134
178,Eagle Supporters Club,f486b4e7-4b8b-11e2-99aa-22000a929134
179,Eastern Illinois University Womens Varsity Rugby,f4ba4827-4b8b-11e2-99aa-22000a929134
180,Elite Rugby America,f521810f-4b8b-11e2-99aa-22000a929134
181,Fox Chapel Boys High School,f55d29df-4b8b-11e2-99aa-22000a929134
182,Frenchtown Ironhorse RFC,f57af860-4b8b-11e2-99aa-22000a929134
183,Godzilla Rugby Football Club,f5bece1e-4b8b-11e2-99aa-22000a929134
184,GTMO Rugby Club,f61fb2a1-4b8b-11e2-99aa-22000a929134
185,"Hawaii Rugby Referee Association, Ltd",f65a1120-4b8b-11e2-99aa-22000a929134
186,High School - The Woodland Exiles,f74777eb-4b8b-11e2-99aa-22000a929134
187,Iron Rugby,f79fc4da-4b8b-11e2-99aa-22000a929134
188,Kennesaw BA Rugby Club Sevens,f838d004-4b8b-11e2-99aa-22000a929134
189,Kihei Youth Center Sevens,f8abb5e6-4b8b-11e2-99aa-22000a929134
190,Koonduck Exiles,f8abc0ca-4b8b-11e2-99aa-22000a929134
191,Mana O Maui Rugby,f8d6d784-4b8b-11e2-99aa-22000a929134
192,Marist Hawaii High School Rugby Club,f986097c-4b8b-11e2-99aa-22000a929134
193,McGeorge Rugby Football Club,f9a71106-4b8b-11e2-99aa-22000a929134
194,Men's National Seven's Team,fa5adbfa-4b8b-11e2-99aa-22000a929134
195,Mongoose Rugby Idaho High School Club,fab34066-4b8b-11e2-99aa-22000a929134
196,Morning Calm Rugby Football Club,fb6d3858-4b8b-11e2-99aa-22000a929134
197,Myrtle Beach Super Sabres,fbc88b2f-4b8b-11e2-99aa-22000a929134
198,New England Rugby Referee Society,fbfcaedd-4b8b-11e2-99aa-22000a929134
199,North Idaho College Rugby Club,fbde3221-4b8b-11e2-99aa-22000a929134
200,Old Southwest Rugby Football Club Masters,fc8dd114-4b8b-11e2-99aa-22000a929134
201,Potomac Rugby Foundation,fc900e55-4b8b-11e2-99aa-22000a929134
202,Raptor Rugby Academy,fd532247-4b8b-11e2-99aa-22000a929134
203,Sacramento City College,fd7c2f19-4b8b-11e2-99aa-22000a929134
204,Salt Lake Community College Rugby Club,fe1d6699-4b8b-11e2-99aa-22000a929134
205,San Juan Rugby Club,fe7e8aff-4b8b-11e2-99aa-22000a929134
206,SBRO Admin Only,fe9b6e34-4b8b-11e2-99aa-22000a929134
207,Seacoast Rugby Club - High School Boys,fec98876-4b8b-11e2-99aa-22000a929134
208,Sewanee Ladies' Rugby,ff359626-4b8b-11e2-99aa-22000a929134
209,South Maui Rugby,ff8873dd-4b8b-11e2-99aa-22000a929134
210,South Pittsburgh Fathead High School RFC,000e9024-4b8c-11e2-99aa-22000a929134
211,Spartan Rugby Club White Station High,0039d577-4b8c-11e2-99aa-22000a929134
212,Springfield Celts Rugby Club,00ea4283-4b8c-11e2-99aa-22000a929134
